country,date,name,type
AL,N/A,"[{'language': 'EN', 'text': ""New Year's Day""}]",Public
AL,N/A,"[{'language': 'EN', 'text': ""New Year's Day Holiday""}]",Public
AL,N/A,"[{'language': 'EN', 'text': 'Summer Day'}]",Public
AL,N/A,"[{'language': 'EN', 'text': 'Nowruz (Persian New Year)'}]",Public
AL,N/A,"[{'language': 'EN', 'text': 'Easter Sunday'}]",Public
AL,N/A,"[{'language': 'EN', 'text': 'Easter Monday'}]",Public
AL,N/A,"[{'language': 'EN', 'text': 'Orthodox Easter Sunday'}]",Public
AL,N/A,"[{'language': 'EN', 'text': 'Orthodox Easter Monday'}]",Public
AL,N/A,"[{'language': 'EN', 'text': 'Eid al-Fitr (Holiday of Breaking the Fast)'}]",Public
AL,N/A,"[{'language': 'EN', 'text': 'Labour Day'}]",Public
AL,N/A,"[{'language': 'EN', 'text': 'Eid ul-Adha (Feast of Sacrifice)'}]",Public
AL,N/A,"[{'language': 'EN', 'text': 'Mother Teresa Day'}]",Public
AL,N/A,"[{'language': 'EN', 'text': 'Flag and Independence Day'}]",Public
AL,N/A,"[{'language': 'EN', 'text': 'Liberation Day'}]",Public
AL,N/A,"[{'language': 'EN', 'text': 'Youth Day'}]",Public
AL,N/A,"[{'language': 'EN', 'text': 'Christmas Day'}]",Public
AD,N/A,"[{'language': 'EN', 'text': ""New Year's Day""}]",Public
AD,N/A,"[{'language': 'EN', 'text': 'Epiphany'}]",Public
AD,N/A,"[{'language': 'EN', 'text': 'Carnival'}]",Public
AD,N/A,"[{'language': 'EN', 'text': 'Constitution Day'}]",Public
AD,N/A,"[{'language': 'EN', 'text': 'Good Friday'}]",Public
AD,N/A,"[{'language': 'EN', 'text': 'Easter Monday'}]",Public
AD,N/A,"[{'language': 'EN', 'text': 'Labour Day'}]",Public
AD,N/A,"[{'language': 'EN', 'text': 'Pentecost Monday'}]",Public
AD,N/A,"[{'language': 'EN', 'text': 'Assumption Day'}]",Public
AD,N/A,"[{'language': 'EN', 'text': 'National Holiday'}]",Public
AD,N/A,"[{'language': 'EN', 'text': ""All Saints' Day""}]",Public
AD,N/A,"[{'language': 'EN', 'text': 'Immaculate Conception'}]",Public
AD,N/A,"[{'language': 'EN', 'text': 'Christmas Day'}]",Public
AD,N/A,"[{'language': 'EN', 'text': ""St. Stephen's Day""}]",Public
AT,N/A,"[{'language': 'EN', 'text': ""New Year's Day""}]",Public
AT,N/A,"[{'language': 'EN', 'text': 'Epiphany'}]",Public
AT,N/A,"[{'language': 'EN', 'text': 'Easter Monday'}]",Public
AT,N/A,"[{'language': 'EN', 'text': 'Labour Day'}]",Public
AT,N/A,"[{'language': 'EN', 'text': 'Ascension Day'}]",Public
AT,N/A,"[{'language': 'EN', 'text': 'Pentecost Monday'}]",Public
AT,N/A,"[{'language': 'EN', 'text': 'Corpus Christi'}]",Public
AT,N/A,"[{'language': 'EN', 'text': 'Assumption Day'}]",Public
AT,N/A,"[{'language': 'EN', 'text': 'National Day'}]",Public
AT,N/A,"[{'language': 'EN', 'text': ""All Saints' Day""}]",Public
AT,N/A,"[{'language': 'EN', 'text': 'Immaculate Conception'}]",Public
AT,N/A,"[{'language': 'EN', 'text': 'Christmas Day'}]",Public
AT,N/A,"[{'language': 'EN', 'text': ""St Stephen's Day""}]",Public
BY,N/A,"[{'language': 'EN', 'text': ""New Year's Day""}]",Public
BY,N/A,"[{'language': 'EN', 'text': 'Christmas (Orthodox Christmas)'}]",Public
BY,N/A,"[{'language': 'EN', 'text': ""Women's Day""}]",Public
BY,N/A,"[{'language': 'EN', 'text': 'Labour Day'}]",Public
BY,N/A,"[{'language': 'EN', 'text': 'Victory Day'}]",Public
BY,N/A,"[{'language': 'EN', 'text': 'Radunitsa'}]",Public
BY,N/A,"[{'language': 'EN', 'text': 'Day of the Republic'}]",Public
BY,N/A,"[{'language': 'EN', 'text': 'October Revolution Day'}]",Public
BY,N/A,"[{'language': 'EN', 'text': 'Catholic Christmas'}]",Public
BE,N/A,"[{'language': 'EN', 'text': ""New Year's Day""}]",Public
BE,N/A,"[{'language': 'EN', 'text': 'Easter'}]",Public
BE,N/A,"[{'language': 'EN', 'text': 'Easter Monday'}]",Public
BE,N/A,"[{'language': 'EN', 'text': 'Labour Day'}]",Public
BE,N/A,"[{'language': 'EN', 'text': 'Ascension Day'}]",Public
BE,N/A,"[{'language': 'EN', 'text': 'Pentecost'}]",Public
BE,N/A,"[{'language': 'EN', 'text': 'Pentecost Monday'}]",Public
