country,date,name,type,subdivision
AD,2022-01-01,Any nou,Public,National
AD,2022-01-06,Reis,Public,National
AD,2022-02-28,Carnaval,Public,National
AD,2022-03-14,Dia de la Constitució,Public,National
AD,2022-04-15,Divendres Sant,Public,National
AD,2022-04-18,Dilluns de Pasqua,Public,National
AD,2022-05-01,Festa del Treball,Public,National
AD,2022-06-06,Dilluns de Pentecosta,Public,National
AD,2022-08-15,Assumpció,Public,National
AD,2022-09-08,Mare de Déu de Meritxell,Public,National
AD,2022-11-01,Tots Sants,Public,National
AD,2022-12-08,Immaculada Concepció,Public,National
AD,2022-12-25,Nadal,Public,National
AD,2022-12-26,Sant Esteve,Public,National
AD,2023-01-01,Any nou,Public,National
AD,2023-01-06,Reis,Public,National
AD,2023-02-20,Carnaval,Public,National
AD,2023-03-14,Dia de la Constitució,Public,National
AD,2023-04-07,Divendres Sant,Public,National
AD,2023-04-10,Dilluns de Pasqua,Public,National
AD,2023-05-01,Festa del Treball,Public,National
AD,2023-05-29,Dilluns de Pentecosta,Public,National
AD,2023-08-15,Assumpció,Public,National
AD,2023-09-08,Mare de Déu de Meritxell,Public,National
AD,2023-11-01,Tots Sants,Public,National
AD,2023-12-08,Immaculada Concepció,Public,National
AD,2023-12-25,Nadal,Public,National
AD,2023-12-26,Sant Esteve,Public,National
AD,2024-01-01,Any nou,Public,National
AD,2024-01-06,Reis,Public,National
AD,2024-02-12,Carnaval,Public,National
AD,2024-03-14,Dia de la Constitució,Public,National
AD,2024-03-29,Divendres Sant,Public,National
AD,2024-04-01,Dilluns de Pasqua,Public,National
AD,2024-05-01,Festa del Treball,Public,National
AD,2024-05-20,Dilluns de Pentecosta,Public,National
AD,2024-08-15,Assumpció,Public,National
AD,2024-09-08,Mare de Déu de Meritxell,Public,National
AD,2024-11-01,Tots Sants,Public,National
AD,2024-12-08,Immaculada Concepció,Public,National
AD,2024-12-25,Nadal,Public,National
AD,2024-12-26,Sant Esteve,Public,National
AD,2021-12-23,Vacances de Nadal,School,National
AD,2022-02-28,Vacances de Carnaval,School,National
AD,2022-04-11,Vacances de Pasqua,School,National
AD,2022-06-02,Vacances de Pentecosta,School,National
AD,2022-07-02,Vacances d'estiu,School,National
AD,2022-10-31,Vacances de Tots Sants,School,National
AD,2022-12-23,Vacances de Nadal,School,National
AD,2023-02-20,Vacances de Carnaval,School,National
AD,2023-04-03,Vacances de Pasqua,School,National
AD,2023-05-29,Vacances de Pentecosta,School,National
AD,2023-07-01,Vacances d'estiu,School,National
AD,2023-10-30,Vacances de Tots Sants,School,National
AD,2023-12-25,Vacances de Nadal,School,National
AD,2024-02-12,Vacances de Carnaval,School,National
AD,2024-03-28,Vacances de Pasqua,School,National
AD,2024-05-20,Vacances de Pentecosta,School,National
AD,2024-06-29,Vacances d'estiu,School,National
AD,2024-10-28,Vacances de Tots Sants,School,National
AD,2024-12-23,Vacances de Nadal,School,National
AL,2022-01-01,Viti i Ri,Public,National
